Workout Title,Category,Routine Link,Tables,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
Full Body Bodyweight Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/full-body-bodyweight-workout.html,"[{'title': 'Full Body Bodyweight Workout', 'content': [[], ['Jump Squat', '3', '10-15'], ['Push Up', '3', '15-20'], ['Pull Up', '3', '10-15'], ['Walking Lunge (Reps are for each leg)', '3', '10-15'], ['Dips', '3', '10-15'], ['Inverted Pull Ups', '3', '10-15']]}]",Lose Fat,Full Body,Beginner,4 weeks,6,30-45 minutes,Bodyweight,Male & Female,"Protein Powder, BCAAs"
Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary),https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout,"[{'title': 'Day 1: Every Minute On the Minute (EMOM)', 'content': [[], ['Sprint', '15 Seconds', '*'], ['Burpees', '15', '*'], ['Squat Jumps', '15', '*'], ['Walking Lunges', '8 Per Leg', '*'], ['Frog Sit Up', '15', '*'], ['Pushups', '15', '*'], ['Mountain Climbers', '15 Per Leg', '*'], ['Arm Circles', '15 Seconds', '*'], ['Shadow Boxing Combination', '15 Seconds', '*'], ['*Rest for remainder of minute between exercises']]}, {'title': 'Day 2: Circuit Training', 'content': [[], ['Sprint', '15 Seconds'], ['Burpees', '15'], ['Squat Jumps', '15'], ['Walking Lunges', '8 Per Leg'], ['Frog Sit Up', '15'], ['Pushups', '15'], ['Mountain Climbers', '15 Per Leg'], ['Arm Circles', '15 Seconds'], ['Shadow Boxing Combination', '15 Seconds']]}]",General Fitness,Full Body,Beginner,12 weeks,4,30-45 minutes,"Barbell, Bodyweight, Dumbbells, Kettle Bells, Other",Male & Female,"Whey Protein Isolate, Creatine Monohydrate, Fat Burner (optional), Fish Oil"
3 Day Dumbbell & Barbell Home Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/dumbbell-barbell-home-workout.html,"[{'title': 'Monday - Chest and Back', 'content': [[], ['Chest Dips or bench dip', '4', 'MAX'], ['Deep Push ups (with hands on dumbbells)', '4', '12'], ['Dumbbell Flys', '3', '10'], ['Bent Over Barbell Row', '4', '10'], ['One Arm Dumbbell Row', '4', '10'], ['Upright Row', '3', '8']]}, {'title': 'Wednesday - Legs, Including Calves', 'content': [[], ['Squats', '4', '12,10,10,8'], ['Dumbbell Lunges', '3', '6 on each leg'], ['Deadlifts', '3', '10'], ['Standing Calf Raise (holding dumbbell)', '5', '12,12,10,8,8']]}, {'title': 'Friday - Shoulders and Arms', 'content': [[], ['Military Press', '4', '8-10'], ['Dumbbell Lateral Raise', '4', '12'], ['Bent Over Reverse Fly', '4', '12'], ['Barbell Bicep Curl', '5', '10'], ['French Press', '5', '10']]}]",Build Muscle,Full Body,Beginner,8 weeks,3,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Other",Male & Female,"Protein Powder, Creatine Monohydrate, Essential Fats (EFAs), Multivitamin, Pre-Workout (optional)"
Calisthenics for Lifters: 12 Week Workout to Improve Performance,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/calisthenics-workout-to-improve-performance,"[{'title': 'Calisthenics Workout 1: Upper/Lower Split', 'content': [[], ['Push Up', '3', '30s', 'None'], ['Superman', '3', '30s', 'None'], ['Zottoman Hand Curl', '3', '30s', 'None'], ['Side Bend', '3', '30s', 'None'], ['Sit Up', '3', '30s', '2min'], [""*Rest for 2 minutes after sit-up's and repeat from the top for 3 rounds""]]}, {'title': 'Calisthenics Workout 1: Upper/Lower Split', 'content': [[], ['Squat Jump', '3', '30s', 'None'], ['Lunge', '3', '30s', 'None'], ['Straight Leg Toe Touch', '3', '30s', 'None'], ['Calf Raise', '3', '30s', 'None'], ['Mountain Climber', '3', '30s', '2min'], ['*Rest for 2 minutes after mountain climbers and repeat from the top for 3 rounds']]}, {'title': 'Calisthenics Workout 2: Full Body Circuit', 'content': [[], ['Push Up', '4-8', '10', 'None'], ['Superman', '4-8', '10', 'None'], ['Sit-Up', '4-8', '10', 'None'], ['Zottman Hand Curl', '4-8', '10', 'None'], ['Mountain Climber', '4-8', '10', 'None'], ['Side Bend', '4-8', '10', 'None'], ['Squat Jump', '4-8', '10', 'None'], ['Lunge', '4-8', '10', 'None'], ['Straight Leg Toe Touch', '4-8', '10', 'None'], ['Calf Raise', '4-8', '10', '2 min'], [""*Rest for 2 minutes after sit-up's and repeat from the top for 4-8 rounds""]]}]",General Fitness,Split,Beginner,8 weeks,3,40-60 minutes,"Bands, Dumbbells",Male & Female,
6 Week High-Intensity Functional Training Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workout/6-week-high-intensity-functional-training-workout,"[{'title': 'Day 1: Chest & Triceps', 'content': [[], ['Flat Dumbbell Bench', '4', '15', '1 min'], ['Incline Dumbbell Bench', '4', '12', '1 min'], ['Narrow Push Up', '4', '12', '1 min'], ['Dumbbell Kickbacks', '4', '12', '1 min'], ['Dumbbell Pec Fly', '4', '12', '1 min'], ['Bench Dips', '4', '15', '1 min'], ['Glute Bridge Single-Arm Kettlebell Bench Press', '4', '12', '1 min']]}, {'title': 'Day 2: HIFT', 'content': [[], ['Wall Balls', '85%', '20'], ['Kettlebell Swings', '85%', '15'], ['Run', '65-75%', '400 meters']]}, {'title': 'Day 3: Back & Biceps', 'content': [[], ['Single-Arm Kettlebell Row', '65-75%', '4', '12', '1 min'], ['Bicep Hammer Curls', '65-75%', '4', '10', '1 min'], ['Single-Arm Incline Row', '65-75%', '4', '12', '1 min'], ['Bent Over Kettlebell Row', '65-75%', '4', '10', '1 min'], ['Dumbbell Rear Delt Fly', '65-75%', '4', '12', '1 min'], ['Pull Ups', '-', '3', 'Failure', '3 min'], ['Resistance Band Bicep Curls', '-', '3', 'Failure', '2 min']]}, {'title': 'Day 4: HIFT', 'content': [[], ['Power Snatch or Single Arm Dumbbell Snatch', '65-75%', '10'], ['Kettle Bell Hollow Holds', '85%', '30 sec'], ['Double/Single Unders', '-', '30 sec']]}, {'title': 'Day 5: Legs & Shoulders', 'content': [[], ['Front Rack Kettlebell Reverse Lunge', '65-75%', '4', '12', '2 min'], ['Front Rack Kettlebell Squats', '65-75%', '4', '10', '2 min'], ['Kettlebell Suitcase Deadlift', '65-75%', '4', '10', '2 min'], ['Single-Arm Kettlebell Strict Press', '65-75%', '4', '12', '1 min'], ['Barbell Shoulder Press', '65-75%', '4', '10', '2 min'], ['Resistance Band Front Raise', '-', '3', 'Failure', '1 min'], ['Resistance Band Lateral Raise', '-', '3', 'Failure', '1 min']]}, {'title': 'Day 6: HIFT', 'content': [[], ['Kettlebell Push Press', '10'], ['Box Jumps', '8'], ['Mountain Climbers', '10']]}, {'title': 'Strength Ladder', 'content': [[], ['Deadlift', '8', '12, 10, 8, 5, 5, 4, 8, 10'], ['Squats', '8', '12, 10, 8, 5, 5, 4, 8, 10']]}, {'title': 'Strength Ladder', 'content': [[], ['Kre-Alkalyn', 'X', 'X', ''], ['Citrulline Malate', 'X', 'X', 'X'], ['Beta-Alanine', 'X', 'X', ''], ['Clean Carbs', 'X', 'X', 'X'], ['Whey Protein Isolate/Plant Protein', 'X', '', 'X'], ['L-Glutamine', '', '', 'X'], ['BCAA', 'X', 'X', 'X']]}]",Lose Fat,Full Body,Intermediate,3 weeks,4,30-60 minutes,"Barbell, Bodyweight, Dumbbells, Machines, Other",Male & Female,"ALLWHEY CLASSIC, AMINOCUTS"
3 Day Full Body Beginner Kettlebell Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout,"[{'title': 'Full Body Kettlebell Workout 1', 'content': [[], ['Kettlebell Squat', '3', '8'], ['Kettlebell Swing', '3', '8'], ['Kettlebell Row', '3', '8'], ['Kettlebell Overhead Press', '3', '8'], ['Turkish Get Up', '3', '6 Each']]}, {'title': 'Full Body Kettlebell Workout 2', 'content': [[], ['Kettlebell Romanian Deadlift', '3', '8'], ['Kettlebell Split Lunge', '3', '8 Each'], ['Kettlebell Snatch', '3', '6'], ['Kettlebell Row', '3', '8'], ['One Arm Kettlebell Floor Press', '3', '8 Each']]}, {'title': 'Full Body Kettlebell Workout 3', 'content': [[], ['Kettlebell Sumo Deadlift', '3', '8'], ['Kettlebell Lateral Lunge', '3', '8 Each'], ['Kettlebell Clean', '3', '6'], ['Kettlebell Upright Row', '3', '8'], ['Kettlebell Angled Press', '3', '8']]}]",Lose Fat,Full Body,Intermediate,12 weeks,7,45-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Kettle Bells, Medicine Ball",Female,"Whey Protein Isolate, Women's Multi, Fish Oil, Pre-Workout (optional), Fat Burner (optional)"
3 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout,"[{'title': 'At Home Women’s Workout 1', 'content': [[], ['Bodyweight Squat', '3', '10'], ['Rear Bodyweight Lunge', '3', '10'], ['Single Leg Dumbbell Deadlift', '3', '6 Each'], ['Push Up', '3', '6-10'], ['Resistance Band Lat Pull Down', '3', '10'], ['Dumbbell Row', '3', '10'], ['Plank', '3', '30 Secs']]}, {'title': 'At Home Women’s Workout 2', 'content': [[], ['Resistance Band Deadlift', '3', '10'], ['Dumbbell Goblet Squat', '3', '10'], ['Glute Bridge', '3', '12'], ['Donkey Kicks', '3', '12 Each'], ['Resistance Band Row', '3', '10'], ['Dumbbell Shoulder Press', '3', '8-10'], ['Ab Crunch', '3', '15']]}, {'title': 'At Home Women’s Workout 3', 'content': [[], ['Push Up', '3', '6-10'], ['Dumbbell Lateral Raise', '3', '10'], ['Resistance Band Pull Down', '3', '10'], ['Dumbbell Row', '3', '10'], ['Bodyweight Squat', '3', '10'], ['Glute Bridge', '3', '15'], ['Side Planks', '3', '30 Secs Each']]}]",Lose Fat,Full Body,Beginner,12 weeks,3,35-40 minutes,"Bodyweight, Dumbbells, Kettle Bells",Male & Female,"Whey Protein, Multivitamin, Fish Oil, Fat Burner (optional)"
5 Day At Home Muscle Building Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/5-day-home-muscle-building-workout,"[{'title': 'Day 1: Chest', 'content': [[], ['Incline Barbell Bench Press', '4', '8-12'], ['Dumbbell Floor Press', '3', '10-12'], ['Banded Fly', '3', '12'], ['Push Ups', '3', '12, 12, Drop Set']]}, {'title': 'Day 2: Back', 'content': [[], ['Bent Over Row', '4', '8-12'], ['Dumbbell Pullover', '3', '10-12'], ['Banded Row', '3', '12'], ['Shrugs', '3', 'Failure']]}, {'title': 'Day 3: Arms', 'content': [[], ['Barbell Curl', '4', '12'], ['Hammer Curl', '3', '10-12'], ['Banded Curl', '3', '12'], ['Overhead Tricep Extension', '4', '12'], ['Dumbbell Kickback', '4', '12'], ['Close Grip Push Up', '4', 'Failure']]}, {'title': 'Day 4: Shoulders', 'content': [[], ['Arnold Press', '4', '8-12'], ['Front Raise', '3', '10-12'], ['Lateral Raise', '3', '12'], ['Band Pull Apart', '3', '12, 12, Drop Set']]}, {'title': 'Day 5: Legs', 'content': [[], ['Squat', '4', '8-12'], ['Stiff-Leg Deadlift', '4', '10-12'], ['Walking Lunge', '4', '12'], ['Standing Calf Raise', '3', 'Failure']]}]",,,,,,,,,
The Conditioning Comeback: 8 Week Total Body Fitness Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/conditioning-comeback-8-week-conditioning-workout,"[{'title': 'The Conditioning Comeback Day 1: Lower Body', 'content': [[], ['Goblet Squat', '*', '100'], ['Dumbbell Lunge', '*', '100 (50 each)'], ['Banded Good Morning', '*', '100'], ['Lying Leg Raise', '*', '100'], ['Dumbbell Farmer’s Walk', '*', '100'], ['* As few sets as possible']]}, {'title': 'The Conditioning Comeback Day 2: Upper Body', 'content': [[], ['Dumbbell Floor Press', '*', '100'], ['Dumbbell Pullover', '*', '100'], ['Banded Lateral Raise', '*', '100'], ['Hammer Curl', '*', '100 (50 each)'], ['Close Grip Pushup', '*', '100'], ['* As few sets as possible']]}, {'title': 'The Conditioning Comeback Day 3: Full Body', 'content': [[], ['Goblet Squat', 'AMRAP', '5 Minutes'], ['Dumbbell Lunge', 'AMRAP', '5 Minutes'], ['Dumbbell Floor Press', 'AMRAP', '5 Minutes'], ['Dumbbell Pullover', 'AMRAP', '5 Minutes'], ['Hammer Curl', 'AMRAP', '5 Minutes'], ['Lying Leg Raise', 'AMRAP', '5 Minutes'], ['AMRAP = As Many Reps As Possible']]}]",,,,,,,,,
4 Day (At Home) Women's Workout Routine,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/4-day-at-home-womens-workout,"[{'title': 'At Home Women’s Workout 1', 'content': [[], ['Dumbbell Goblet Squat', '4', '10'], ['Resistance Band Deadlift', '4', '10'], ['Bodyweight Lunge', '3', '15 Each'], ['Push Up', '3', '6-10'], ['Resistance Band Lat Pull Down', '4', '10'], ['Resistance Band Overhead Press', '3', '10'], ['Dumbbell Row', '3', '10'], ['Ab Crunch', '3', '15']]}, {'title': 'At Home Women’s Workout 2', 'content': [[], ['Bodyweight Squat', '3', '10'], ['Lateral Lunge', '3', '8 Each'], ['Glute Bridge', '3', '12'], ['Single Leg Hip Thrust', '3', '8-12 Each'], ['Pull Up', '3', '5-12'], ['Band Curl', '3', '12'], ['Lying Leg Raise', '3', '15']]}, {'title': 'At Home Women’s Workout 3', 'content': [[], ['Resistance Band Chest Press', '3', '12'], ['Close Grip Resistance Band Pull Down', '3', '12'], ['Dumbbell Lateral Raise', '3', '12'], ['Resistance Band Row', '3', '12'], ['Dumbbell Stiff Leg Deadlift', '3', '12'], ['Donkey Kicks', '3', '12 Each'], ['Oblique Crunch', '3', '15 Each']]}, {'title': 'At Home Women’s Workout 4', 'content': [[], ['Plie Squat', '3', '12'], ['Single Leg Dumbbell Deadlift', '3', '12'], ['Glute Bridge', '3', '12'], ['Single Arm Resistance Band Pull Down', '3', '8 Each'], ['Band Pull Apart', '3', '12-15'], ['Plank', '3', '30 Secs']]}]",,,,,,,,,
Upper/Lower (At Home) Kettlebell Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/upper-lower-kettlebell-workout,"[{'title': 'Upper Body Kettlebell Workout', 'content': [[], ['Kettlebell Shoulder Press', '3', '10'], ['Kettlebell Side Raise', '3', '12'], ['Kettlebell Chest Press', '3', '10'], ['Kettlebell Row', '3', '12'], ['Kettlebell Renegade Row', '3', '12']]}, {'title': 'Lower Body Kettlebell Workout', 'content': [[], ['Kettlebell Sumo Deadlift', '3', '15'], ['Goblet Squat', '3', '15'], ['Kettlebell RDL', '3', '12'], ['Kettlebell Reverse Lunge', '3', '10 Each'], ['Kettlebell Swing', '3', '15']]}, {'title': 'Upper Body Kettlebell Workout', 'content': [[], ['Kettlebell Deficit Push Up', '3', '15'], ['Kettlebell Halo', '3', '8 Each'], ['Kettlebell High Pull', '3', '10'], ['Kettlebell Row', '3', '12'], ['Kettlebell Renegade Row', '3', '15']]}, {'title': 'Lower Body Kettlebell Workout', 'content': [[], ['Kettlebell Single Leg Deadlift', '3', '15'], ['Kettlebell Squat', '3', '15'], ['Kettlebell Walking Lunge Pass', '3', '10 Each'], ['Kettlebell Swing', '3', '15'], ['Kettlebell Step Up', '3', '10 Each']]}]",,,,,,,,,
Total Body Torcher: 8 Week Full Body Fat Loss Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/total-body-torcher,"[{'title': 'Tabata Option A', 'content': [[], ['Dumbbell Punches', '2', '20 seconds', '10 seconds'], ['Jumping Jacks', '2', '20 seconds', '10 seconds'], ['Mountain Climbers', '2', '20 seconds', '10 seconds'], ['Pushups', '2', '20 seconds', '10 seconds']]}, {'title': 'Tabata Option B', 'content': [[], ['Dumbbell Punches', '1', '20 seconds', '10 seconds'], ['Jumping Jacks', '1', '20 seconds', '10 seconds'], ['Mountain Climbers', '1', '20 seconds', '10 seconds'], ['Pushups', '1', '20 seconds', '10 seconds'], ['Dumbbell Punches', '1', '20 seconds', '10 seconds'], ['Jumping Jacks', '1', '20 seconds', '10 seconds'], ['Mountain Climbers', '1', '20 seconds', '10 seconds'], ['Pushups', '1', '20 seconds', '10 seconds']]}, {'title': 'Tabata Option B', 'content': [[], ['Crunch w/ Feet Elevated', '3', '10'], ['Lying Leg Raise', '3', '10'], ['Vacuums', '3', '20 seconds'], ['Sprints', '5', '10-15 seconds']]}, {'title': 'Tabata Option B', 'content': [[], ['Shoulder Press and Pulldown', '1', '10'], ['Chest Press and Row', '1', '10'], ['Biceps and Triceps', '1', '10'], ['Squat and Touch the Toes', '1', '10']]}]",,,,,,,,,
3 Day Kettlebell and Bodyweight Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/3-day-kettlebell-bodyweight,"[{'title': 'Upper Body Workout', 'content': [[], ['One Arm Row', '3', '20*'], ['One Arm Reverse Fly', '3', '20*'], ['Push Up', '3', '20*'], ['Single Arm Kettlebell Fly', '3', '20*'], ['Single Arm Lateral Raise', '3', '20*'], ['Concentration Curl', '2', '20*'], ['Overhead Kettlebell Extension', '2', '20']]}, {'title': 'Lower Body and Abs Workout', 'content': [[], ['Goblet Squat', '4', '20'], ['Single Arm Kettlebell Deadlift', '4', '20'], ['Walking Lunge +', '3', '10*'], ['Standing Calf Raise', '4', '25'], ['Weighted Twisting Sit Up', '3', '10*'], ['Reverse Crunch', '3', '20']]}, {'title': 'Full Body Workout', 'content': [[], ['Push Up', '1', '100', '90 seconds'], ['Kettlebell Pullover', '1', '100', '90 seconds'], ['Squat Jump', '1', '100', '90 seconds'], ['Kettlebell Swing', '1', '100', '90 seconds'], ['Standing Kettlebell Twist', '1', '100*', '90 seconds']]}]",,,,,,,,,
8 Week Barbell and Resistance Band Muscle Building Workout,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/band-barbell-workout,"[{'title': 'Day 1: Push Day', 'content': [[], ['Alternating Front & Back Shoulder Barbell Press', '4', '10'], ['Band Lateral Raise', '3', '10'], ['Band Pull-Apart', '3', '10'], ['Band Fly', '3', '12'], ['Lying Barbell Tricep Extension', '3', '12'], ['Band Pushup', '5-8', '100 total']]}, {'title': 'Day 2: Pull Day', 'content': [[], ['Barbell Pullover', '4', '10'], ['Band Bent-Over Row', '3', '10'], ['Band Pulldown', '3', '10'], ['Close-Grip Barbell Curl', '2', '10'], ['Wide-Grip Barbell Curl', '2', '10'], ['Band Single Arm Curl', '3', '12'], ['Band Shrug', '5-8', '100 total']]}, {'title': 'Day 3: Legs & Abs', 'content': [[], ['Barbell Squat', '3', '10'], ['Pistol Squat', '3', '10'], ['A. Banded Good Morning', '3', '10'], ['B. Deficit Stiff-Leg Deadlift', '3', '10'], ['Barbell Walking Lunge', '3', '12 each leg'], ['Standing Calf Raise', '5-8', '100 total'], ['Crunch', '5', '10'], ['Lying Leg Raise', '5', '10']]}]",,,,,,,,,
5 Day Minimal Equipment Home Workout Routine,https://www.muscleandstrength.com/workouts/home,https://www.muscleandstrength.com/workouts/limited-equipment-home-workout,"[{'title': 'Day 1: All Barbell Back', 'content': [[], ['Wide Grip Barbell Bent-Over Row', '3', '7-9'], ['Deadlift', '3', '10-12'], ['Barbell Pullover', '3', '13-15'], ['One Arm Barbell Row', '3', '16-20']]}, {'title': 'Day 2: All Bodyweight Chest', 'content': [[], ['Push Ups (2/3/1 Tempo)', '3', 'Max Reps'], ['Feet-Elevated Push Ups (5/1/1 Tempo)', '3', 'Max Reps'], ['Dips (2/1/3 Tempo)', '3', 'Max Reps'], ['Narrow Grip Push Ups (2/1/1/3 Tempo)', '3', 'Max Reps']]}, {'title': 'Day 3: All Plyo Thighs', 'content': [[], ['Vertical Jumps', '2', '20'], ['Stair Jumps', '2', '10'], ['Broad Jumps', '2', '10'], ['Butt Kick Jumps', '2', '15'], ['Split Jumps', '2', '12 each leg'], ['Lateral Bounds', '2', '15 on each side']]}, {'title': 'Day 4: All Dumbbell Delts', 'content': [[], ['1a. Standing Dumbbell Lateral Raise', '2', '10-12'], ['1b. Dumbbell Upright Row', '2', '10-12'], ['2a. Alternating Hammer Grip Front Dumbbell Raise', '2', '10-12'], ['2b. Seated Dumbbell Arnold Press', '2', '7-9'], ['Lateral Bounds', '2', '15 on each side']]}, {'title': 'Day 5: All Band Arms', 'content': [[], ['Alternating Band Curls (Hold Contractions for 4 Seconds)', '2', '8-10'], ['High Band Biceps Pose Curl (Hold Stretch for 4 Seconds)', '2', '8-10'], ['Band Seated Concentration Curl (Hold Contractions 4 Seconds)', '2', '8-10'], ['Banded Overhead Extension (Hold Stretch for 4 Seconds)', '2', '10-12'], ['Band 2 Arm Kickbacks (Hold Contractions for 4 Seconds)', '2', '10-12'], ['Lying Band Extensions (Hold Stretch for 4 Seconds)', '2', '10-12']]}]",,,,,,,,,
4 Week V-Taper Building Workout Routine,https://www.muscleandstrength.com/workouts/shoulders,https://www.muscleandstrength.com/workouts/4-week-v-taper-building-workout,"[{'title': 'Week 1: The FDFS (Fiber Damage/Fiber Saturation) Method', 'content': [[], ['Close Grip Seated Cable Row', '2/1/X', '3', '3-4'], ['Underhand Grip Bent Row', '5/1/X', '3', '4-6'], ['Stiff Arm Pull Down', '2/0/1', '2', '31-35'], ['Close Grip Pull Down', '2/0/1', '2', '31-35'], ['Smith Machine BTN Press', '3/0/X', '3', '3-4'], ['Wide Grip Cable Upright Row', '4/1/1/1', '3', '4-6'], ['Dumbbell Lateral Raise', '2/0/1', '2', '26-30'], ['Reverse Fly Machine', '2/0/1', '2', '26-30']]}, {'title': 'Week 2: The FTX2 (Fast Twitch Exponential) Method', 'content': [[], ['Seated Pullover Machine', '2/0/1', '2', '21-25'], ['Underhand Grip Pull Down', '5/1/1', '3', '4-6'], ['Underhand Grip Seated Cable Row', '2/1/1/1', '2', '10-12'], ['One Arm Dumbbell Row', '2/1/1', '3', '10-12'], ['Seated Side Lateral Machine', '2/0/1', '2', '21-25'], ['Seated Dumbbell Press', '5/0/1', '3', '4-6'], ['High Cable Rope Pulls', '2/0/1/1', '2', '10-12'], ['Single Arm Cable Lateral Raise', '2/0/1/1', '3', '10-12']]}, {'title': 'Week 3: The SPEC (Stretch/Peak Contraction/Eccentric/Concentric Emphasis) Method', 'content': [[], ['Dumbbell Pullover', '2/3/1', '2', '7-9'], ['Close Grip T Bar Row', '2/0/1/3', '3', '7-9'], ['Close Grip Seated Hammer Row', '4/0/1', '3', '7-9'], ['Underhand Grip Smith Row', '2/1/4', '2', '7-9'], ['Incline Dumbbell Lateral Raise', '2/4/1', '3', '10-12'], ['Wide Grip Cable Upright Row', '2/1/1/3', '3', '7-9'], ['Machine Shoulder Press', '4/1/1', '2', '7-9'], ['One Arm Cable Rear Delt Fly', '2/1/4', '2', '7-9']]}, {'title': 'Week 4: The PRRS (Power/Rep Range/Shock)-HYBRID Method', 'content': [[], ['Hammer Row', '3/2/1/1', '3', '4-6'], ['A1. Stiff Arm Pull Down', '3/0/1', '3', '10-12'], ['A2. Underhand Grip Pull Down', '3/1/1/1', '3', '7-9'], ['One Arm Dumbbell Row', '2/1/1/1', '3', '13-15, 10-12, 7-9'], ['Barbell Military Press', '5/0/1', '3', '4-6'], ['B1. Bent Over Reverse Fly', '2/1/1', '3', '10-12'], ['B2. Dumbbell Lateral Raise', '2/1/1', '3', '10-12'], ['Wide Grip Upright Row', '3/1/1', '3', '13-15, 10-12, 7-9']]}]",,,,,,,,,
4 Week Shoulder Shocker to Ignite Muscle Growth,https://www.muscleandstrength.com/workouts/shoulders,https://www.muscleandstrength.com/workouts/4-week-shoulder-shocker-workout,"[{'title': 'Week 1: The FTX2™ (Fast Twitch Exponential) Method', 'content': [[], ['Seated Dumbbell Lateral Raise', '2/0/1', '3', '21-25'], ['Military Press', '5/1/1', '3', '4-6'], ['Wide Grip Barbell Upright Row', '2/1/1/1', '3', '10-12'], ['Single Arm Reverse Cable Fly', '2/0/1/2', '3', '10-12']]}, {'title': 'Week 2: The SPEC™ (Stretch/Peak Contraction/Eccentric/Concentric Emphasis) Method', 'content': [[], ['Incline Dumbbell Side Lateral Raise', '2/4/1', '3', '8-10'], ['Machine Reverse Fly', '2/0/1/4', '3', '8-10'], ['Seated Dumbbell Press', '6/0/1', '3', '6-8'], ['Wide Grip Cable Upright Row', '2/0/4', '3', '6-8']]}, {'title': 'Week 3: The PRRS™ (Hybrid) Method', 'content': [[], ['Machine Shoulder Press', '4/1/1', '3', '4-6'], ['Seated Bent Over Rear Delt Fly', '2/1/1', '3', '13-15, 10-12, 7-9'], ['A1. Dumbbell Lateral Raise', '2/1/1', '3', '10-12'], ['A2. Incline Cable Front Raise', '2/0/1/1', '3', '7-9']]}, {'title': 'Week 4: The FDFS™ (Fiber Damage/Fiber Saturation) Method', 'content': [[], ['Smith Military Press', '3/0/X', '3', '3-4'], ['Single Arm Palm In Seated Machine Press', '6/0/1', '2', '5-7'], ['Single Arm Behind Back Cable Lateral', '2/4/1', '3', '8-10'], ['Shoulder Wide Grip Barbell Front Raise', '1/0/1', '2', '26-30'], ['Cable Rope High Pull', '1/0/1', '2', '26-30']]}]",,,,,,,,,
The Perfect Workout for Rock Solid Shoulders,https://www.muscleandstrength.com/workouts/shoulders,https://www.muscleandstrength.com/workouts/perfect-workout-for-shoulders,"[{'title': '4. Face Pulls', 'content': [[], ['Seated Barbell Press', '6', '2-5'], ['Seated Lateral Raise', '4', '6-9'], ['Single Arm Machine Lateral Raise', '3', '10-13'], ['Seated Reverse Machine Fly', '3', '10-13']]}]",,,,,,,,,
Mass Performance Program - Day 4: Upper Body,https://www.muscleandstrength.com/workouts/shoulders,https://www.muscleandstrength.com/workouts/mpp-day-4,"[{'title': ""Justin's Workout"", 'content': [[], ['Shoulder Activation: Barbell Landmine', '--', '4x10 (each side)'], ['1. Standing Barbell Military Press', '2x15', '2x10,8,6'], ['2. Barbell Incline Raise', '--', '3x10-12'], ['3. Barbell Row', '--', '3x10-12'], ['4. Lat Pulldown/Pullover Combo', '--', '5x10-15'], ['5. EZ Bar Reverse Curl to Overhead Triceps Extension', '--', '3xFailure']]}, {'title': ""David's Workout"", 'content': [[], ['Shoulder Activation: Barbell Landmine', '--', '4x10 (each side)'], ['1. Arnold Press', '--', '5x10-15'], ['2. Lateral Raise/Front Raise Combo', '--', '5x10-12'], ['3. Chest Supported DB Row with Alternating Grip', '--', '3x7-10 (3x14-20 total)'], ['4. Lat Pulldown/Pullover Combo', '--', '5x10-15'], ['5. Dumbbell Hammer Curl to French Press', '--', '3x10-15']]}]",,,,,,,,,
Deltoid Destruction: High Volume & Intensity Shoulder Workout,https://www.muscleandstrength.com/workouts/shoulders,https://www.muscleandstrength.com/workouts/deltoid-destruction-workout,"[{'title': '6. Machine shrugs', 'content': [[], ['1. Machine Side Lateral Raises', '4', '10, 12, 15, 20'], ['2. Barbell Military Press', '3', '12-15'], ['3. Barbell Upright Row', '3', '10-12'], ['4. Seated Dumbbell Front Raise', '3', '15'], ['5. Seated Rear Dumbbell Lateral Raise', '4', '20'], ['6. Machine Shrugs', '4', '10']]}]",,,,,,,,,
